ffhq_filename,source_url,creator,license,license_url,license_short,figure_or_repo_use,source_platform,modifications
00043.png,https://www.flickr.com/photos/koreanwonders/36482460935/,KRWonders,Attribution License,https://creativecommons.org/licenses/by/2.0/,CC BY 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
00109.png,https://www.flickr.com/photos/livejack00029/36083314254/,沈小捲,Attribution License,https://creativecommons.org/licenses/by/2.0/,CC BY 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
00144.png,https://www.flickr.com/photos/11248189@N02/30150179623/,Charles Mims,Attribution License,https://creativecommons.org/licenses/by/2.0/,CC BY 2.0,figure/repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
00300.png,https://www.flickr.com/photos/ewilkinson/14348834307/,ewilko,Public Domain Mark,https://creativecommons.org/publicdomain/mark/1.0/,PDM 1.0,figure/repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
00348.png,https://www.flickr.com/photos/marcodelsorbo/455454926/,Marco,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,CC BY-NC 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
00641.png,https://www.flickr.com/photos/darkismus/4750887786/,Tuomas Puikkonen,Attribution License,https://creativecommons.org/licenses/by/2.0/,CC BY 2.0,figure/repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
00650.png,https://www.flickr.com/photos/edublogger/42333416925/,Ewan McIntosh,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,CC BY-NC 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
00651.png,https://www.flickr.com/photos/davidclow/4164243640/,David Clow,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,CC BY-NC 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
00653.png,https://www.flickr.com/photos/kabyric/5412795382/,Richard  Kaby,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,CC BY-NC 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
00733.png,https://www.flickr.com/photos/kasimyang/32538636300/,Kasim,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,CC BY-NC 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
00750.png,https://www.flickr.com/photos/yangchen6712/38956725671/,YangChen(TW),Attribution License,https://creativecommons.org/licenses/by/2.0/,CC BY 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
00756.png,https://www.flickr.com/photos/colacaoufg/40800527805/,Colações de Grau UFG,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,CC BY-NC 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
00773.png,https://www.flickr.com/photos/gwangjufc/15282792195/,광주시민프로축구단 (주),Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,CC BY-NC 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
00809.png,https://www.flickr.com/photos/inmediahk/38064458634/,inmediahk,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,CC BY-NC 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
00813.png,https://www.flickr.com/photos/101789297@N08/36647451762/,NICK,Public Domain Mark,https://creativecommons.org/publicdomain/mark/1.0/,PDM 1.0,figure/repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
00850.png,https://www.flickr.com/photos/osseous/34809404995/,osseous,Attribution License,https://creativecommons.org/licenses/by/2.0/,CC BY 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
00868.png,https://www.flickr.com/photos/92549635@N06/36313945732/,惑星,Attribution License,https://creativecommons.org/licenses/by/2.0/,CC BY 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
00873.png,https://www.flickr.com/photos/itupictures/40630925904/,ITU Pictures,Attribution License,https://creativecommons.org/licenses/by/2.0/,CC BY 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
01020.png,https://www.flickr.com/photos/larrison/26119725298/,Jim Larrison,Attribution License,https://creativecommons.org/licenses/by/2.0/,CC BY 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
01039.png,https://www.flickr.com/photos/npphoto/6644164651/,Nathan Phillips,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,CC BY-NC 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
01098.png,https://www.flickr.com/photos/jensdesignsthlm/9069285672/,STHLMEVENTFOTO.SE,Attribution License,https://creativecommons.org/licenses/by/2.0/,CC BY 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
01104.png,https://www.flickr.com/photos/mdgovpics/40899485721/,Maryland GovPics,Attribution License,https://creativecommons.org/licenses/by/2.0/,CC BY 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
01126.png,https://www.flickr.com/photos/145817765@N07/36977560145/,白 皓尊,Public Domain Mark,https://creativecommons.org/publicdomain/mark/1.0/,PDM 1.0,figure/repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
01218.png,https://www.flickr.com/photos/infun/14241604198/,John Li,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,CC BY-NC 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
01220.png,https://www.flickr.com/photos/stellahyc/36059224710/,stellahyc910,Attribution License,https://creativecommons.org/licenses/by/2.0/,CC BY 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
01230.png,https://www.flickr.com/photos/mschnieders/6922859148/,Melissa Schnieders,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,CC BY-NC 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
01386.png,https://www.flickr.com/photos/bffoto_station/10536046416/,BFFOTOS,Attribution License,https://creativecommons.org/licenses/by/2.0/,CC BY 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
01399.png,https://www.flickr.com/photos/13577845@N05/23436993831/,Paul Comstock,Attribution License,https://creativecommons.org/licenses/by/2.0/,CC BY 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
01423.png,https://www.flickr.com/photos/jcasimir/3645367636/,Jeff Casimir,Attribution License,https://creativecommons.org/licenses/by/2.0/,CC BY 2.0,figure/repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
01533.png,https://www.flickr.com/photos/minjkay/42179147325/,MinJae Kim,Attribution License,https://creativecommons.org/licenses/by/2.0/,CC BY 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
01678.png,https://www.flickr.com/photos/vixyao/351128417/,Jimmy Yao,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,CC BY-NC 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
01705.png,https://www.flickr.com/photos/spbassist3/5588202160/,Byron Gonzalez,Attribution License,https://creativecommons.org/licenses/by/2.0/,CC BY 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
01708.png,https://www.flickr.com/photos/133151311@N04/33071444830/,小巢 筑,Attribution License,https://creativecommons.org/licenses/by/2.0/,CC BY 2.0,figure/repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
01732.png,https://www.flickr.com/photos/attig/4901614719/,Gitta Wilén,Attribution License,https://creativecommons.org/licenses/by/2.0/,CC BY 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
01734.png,https://www.flickr.com/photos/docmonstereyes/4750905105/,docmonstereyes,Attribution License,https://creativecommons.org/licenses/by/2.0/,CC BY 2.0,figure/repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
01822.png,https://www.flickr.com/photos/79702149@N00/5552461214/,Jeff McMahon,Attribution License,https://creativecommons.org/licenses/by/2.0/,CC BY 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
01828.png,https://www.flickr.com/photos/minchunyen/27896187745/,William.Yen,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,CC BY-NC 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
01924.png,https://www.flickr.com/photos/nasa2explore/9414859483/,NASA Johnson,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,CC BY-NC 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
01956.png,https://www.flickr.com/photos/photosbystan/7299310692/,Indiana Stan,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,CC BY-NC 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
02116.png,https://www.flickr.com/photos/armazemmemoria/11849122664/,Armazém Memória,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,CC BY-NC 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
02122.png,https://www.flickr.com/photos/galaxyfm/3308349222/,Rogelio A. Galaviz C.,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,CC BY-NC 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
02155.png,https://www.flickr.com/photos/mian9/35069366850/,Mian,Attribution License,https://creativecommons.org/licenses/by/2.0/,CC BY 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
02167.png,https://www.flickr.com/photos/colacaoufg/33134917884/,Colações de Grau UFG,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,CC BY-NC 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
02228.png,https://www.flickr.com/photos/ppmadrid/41994310445/,PP Comunidad de Madrid,Attribution License,https://creativecommons.org/licenses/by/2.0/,CC BY 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
02260.png,https://www.flickr.com/photos/147576436@N05/31608529976/,Suryadi Go,Attribution License,https://creativecommons.org/licenses/by/2.0/,CC BY 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
02285.png,https://www.flickr.com/photos/whattheflagnog/33374923655/,laurencebissett,Public Domain Mark,https://creativecommons.org/publicdomain/mark/1.0/,PDM 1.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
02448.png,https://www.flickr.com/photos/infun/10491027164/,John Li,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,CC BY-NC 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
02452.png,https://www.flickr.com/photos/oxidayfoundation/8148668252/,Washington Oxi Day Foundation,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,CC BY-NC 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
02466.png,https://www.flickr.com/photos/usaghumphreys/28228667635/,USAG- Humphreys,Attribution License,https://creativecommons.org/licenses/by/2.0/,CC BY 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
02476.png,https://www.flickr.com/photos/graffitiphoto/4166903928/,Bryan Thompson,Attribution License,https://creativecommons.org/licenses/by/2.0/,CC BY 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
02674.png,https://www.flickr.com/photos/chrisguillebeau/4385651003/,Chris Guillebeau,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,CC BY-NC 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
02681.png,https://www.flickr.com/photos/beatkueng/2754373034/,Beat Küng,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,CC BY-NC 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
02697.png,https://www.flickr.com/photos/dcdphotos/2630683011/,DDykens,Attribution License,https://creativecommons.org/licenses/by/2.0/,CC BY 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
02718.png,https://www.flickr.com/photos/debosnaps/40733560555/,Deborah Ho,Attribution License,https://creativecommons.org/licenses/by/2.0/,CC BY 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
02721.png,https://www.flickr.com/photos/136793699@N05/32478097680/,Ken Nguyen Nguyen,Public Domain Mark,https://creativecommons.org/publicdomain/mark/1.0/,PDM 1.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
02753.png,https://www.flickr.com/photos/markpeers/12884700155/,Mark Peers,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,CC BY-NC 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
02784.png,https://www.flickr.com/photos/yamakazz/2974961980/,yamada kazuyuki,Attribution License,https://creativecommons.org/licenses/by/2.0/,CC BY 2.0,figure/repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
02885.png,https://www.flickr.com/photos/adamsribs/5775411340/,adamsRibsDELETE,Attribution License,https://creativecommons.org/licenses/by/2.0/,CC BY 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
02985.png,https://www.flickr.com/photos/mvjantzen/14360663741/,M.V. Jantzen,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,CC BY-NC 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
03015.png,https://www.flickr.com/photos/sowwg2017/33307229532/,Special Olympics 2017,Public Domain Dedication (CC0),https://creativecommons.org/publicdomain/zero/1.0/,CC0 1.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
03085.png,https://www.flickr.com/photos/exchangesphotos/39336270144/,Exchanges Photos,Public Domain Dedication (CC0),https://creativecommons.org/publicdomain/zero/1.0/,CC0 1.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
03184.png,https://www.flickr.com/photos/76871272@N03/10261676045/,charlie_tread,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,CC BY-NC 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
03185.png,https://www.flickr.com/photos/limaoscarjuliet/7935296250/,Pawel Loj,Attribution License,https://creativecommons.org/licenses/by/2.0/,CC BY 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
03415.png,https://www.flickr.com/photos/cayobo/13942994795/,Cayobo,Attribution License,https://creativecommons.org/licenses/by/2.0/,CC BY 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
03470.png,https://www.flickr.com/photos/chrivrioni/3087951122/,chrivrioni,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,CC BY-NC 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
03502.png,https://www.flickr.com/photos/lere/3635771288/,Leonardo Reyes,Attribution-NonCommercial License,https://creativecommons.org/licenses/by-nc/2.0/,CC BY-NC 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
03536.png,https://www.flickr.com/photos/secdef/15423102255/,James N. Mattis,United States Government Work,http://www.usa.gov/copyright.shtml,US Gov,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
03567.png,https://www.flickr.com/photos/lemoyne/35162316505/,Iggy Dolphin,Attribution License,https://creativecommons.org/licenses/by/2.0/,CC BY 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
03594.png,https://www.flickr.com/photos/amrufm/2223012374/,amrufm,Attribution License,https://creativecommons.org/licenses/by/2.0/,CC BY 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
03677.png,https://www.flickr.com/photos/120532743@N04/35943049656/,Bunkichi  Chang,Attribution License,https://creativecommons.org/licenses/by/2.0/,CC BY 2.0,repository stimulus,Flickr,Aligned/cropped as provided by FFHQ; white square box added at the lower right; resized for experiment/repository use.
